Abyssal_"Tuner",_Abyss
Beast_Deity,_Godstriker_Extreme
Bringer_of_Light,_Lucifer
Challenge_to_the_Heavens
Divine_Arsenal’s_Shining_Armor,_Kamui
Five_Grains_Hermit_Emperor,_Shennong
Fruit_of_Excitement
Gacha_Redora
Girl_of_the_Sea_Who_Refreshes_the_Soul,_Kiskill_Lyra
Gold_Egg
Goddess_of_True_Flame,_Agnamut
Holy_Angel_of_the_Dazzling_Lamp,_Nightingale
Holy_Damsel_of_Monster_Crusade,_Martha
Immortal_Knight_King_of_the_Round_Table,_Arthur
Judge_of_Absolute_Fair,_Bao_Qingtian
Magician_King_of_Wisdom,_Solomon
Majestic_Monarch,_Tutankhamun
New_Ruler_of_Carcosa,_Azathoth
Oragon
Princess_of_Determination_Yearning_for_Heroes,_Andromeda
Prodigious_Prophetical_Pop_Band,_Apocalyptic_Fates_Community
Ruthless_Monster-Slaying_Hero,_Perseus
Saint_of_Salvation_who_Destroys_Evil,_Jeanne_d'Arc
Sephiroth_of_Hope,_Binah
Soul-saving_White_Holy_Damsel,_Guinevere
Super_Beast_Deity_Festival_2022
Tenkagoken
Twisted_Emotions
Twisted_Severences
Witch_of_the_Brilliant_Banquet,_Walpurgis
Agriculture_Goddess_of_the_Illuminating_Underworld,_Persephone
Angel_of_Romance_and_Agreeableness,_Mana
Awakened_Savior,_Miroku
Ballad_of_Madness,_Serenade
Blessed_Girl,_Abel
Cook_of_Souls_and_Life,_Nacho
Crush_of_Despair,_Amida
Eight_Dog_Warrior_of_Wisdom,_Inusaka_Keno
Eight-headed_Sacrificial_Princess,_Kushinada
Fiendish_Magical_Girls,_Fujin_&_Raijin
Tenkagoken_of_Gloom,_Juzumaru_Tsunetsugu
Goddess_of_the_Moon_Reverie,_Tsukuyomi
Goddess_of_the_Yamatai_Land,_Mahoroba
Great_Gentleman_Thief_who_Steals_Feudal_Realms,_Nezumi_Kozo
Great_Magical_Girl_of_Light_and_Shadow,_Rembrandt
Illusionary_Ninja,_Sarutobi_Sasuke
Infinitree,_Yggdrasil
Heavenly_Great_Thief,_Ishikawa_Goemon
Shining_Purity_Maiden,_Pearl
Shining_Star-gazer_Sorcerer,_Merlin
Solemn_Repose,_Requiem
Song_of_Emotions,_Aria
Soul-inviting_Guide_of_the_Swamp,_Teynemosir
Spy_with_a_Thousand_Faces,_Nyarlathotep
Sweet_Dream_Chocola
Watcher_of_the_Abyss,_Helheim
Phantom_Thief,_Arsene:_Phantom_Mode
Bewitching_Dream,_Succubus
Blade_Deity_of_Reincarnation,_Mikazuki_Munechika
Demonic_Ruler_of_Sins,_Belphegor
Demon_Lord_of_the_Zenith_Heaven's_Loyal_Supporter,_Mori_Ranmaru
Destiny_Connecter,_Hallelujah
Dreadful_Nightmare,_Nocturne
Fiendish_Fox_Princess_of_Beauty,_Daji
Grand_Honorable,_Yamato_Takeru
Great_Sea_Deity,_Watatsumi
Infinitree,_Yggdrasil
Innocent_"Sky_Deity",_Onyankopon
Jailer_of_Frozen_Lands,_Cocytus
Judgement_Lord_of_the_Underworld,_Enma_Daiou
Long-cherished_Wish,_Lady_Sun
Magical_Emperor_of_Another_World,_Napoleon
Miracle_Illustrator,_Moses
Noble_Valkyrie_of_Piercing_Love,_Brynhildr
One_Who_Spins_the_Song,_Ono_no_Komachi
Pleasant_Raise,_March
Power_of_Reunited_Emotions,_Two_for_all
Pure_Long-Haired_Battle_Princess,_Rapunzel
Pure_Mermaid_Diva,_Lorelei
Queen_of_Purest_Water_Spirits,_Tequila
Queen_of_the_Mahoroba_Land,_Himiko
Ruler_who_reached_the_Zenith,_Toyotomi_Hideyoshi
True_Soul_Confessor,_Goethe
Spectacular_Guardian_of_the_Paradise,_Gabriel
Spirit_of_the_Elegant_Flower_Nation,_Plumeria
Unbroken_Ruler_of_Troubles,_Avici
Unique_Detective,_Sherlock_Holmes
Absolutely_Invincible_Great_King_of_Terror,_Nostradamus
Benevolent_Goddess_of_the_Universe,_Benzaiten
Best_Rock_Band_of_the_Cosmos,_Wicked_Pistols
Black_Blazing_Executor_of_Darkness,_Lin_Zi
Demon_of_Causality,_Laplace
Destruction_Blackrose,_Harley_X
Genesis_Deity_of_the_Illuminating_World,_Atum
Great_Connector_Magical_Girl_of_Bonds,_Red-Hood_Nonno
Great_Fiery_Deity_of_Finest_Justice,_Prometheus
Holy_Sword_of_True_Bonds,_Excalibur
Knockin'_on_Heaven's_Door,_Uriel
Legend_of_the_Saving_Innovation,_Sakamoto_Ryoma
Little_Demonic_Dance_Unit,_Mononoke_Girl
Maid_of_Unbridled_Hope,_Pandora
Netherworld_Creator,_Izanami
Netherworld_Warden,_Gehenna
One_and_Only_Emperor,_Caesar
Taboo_Ghost,_Setsuna
Valkyrie_of_Breaking_Sharp_Blade,_Yamato
Valkyrie_of_the_Unsealed_Holy_Shield,_Athena
Worldmaker,_Izanagi
