Neon_Gyze
Neon_Gyze
Shadow_Elemental,_Bikkun
Thunder_Elemental,_Gororo
Air_Elemental,_Bufoo
Air_Elemental,_Bufoo
Air_Elemental_Fwarlun
Air_Elemental,_Twitterun
Dark_Elemental,_Doxic
Earth_Elemental,_Connell
Earth_Elemental,_Rollock
Heat_Elemental,_Howam
Heat_Elemental,_Juge
Light_Elemental,_Honoly
Light_Elemental,_Mekira
Light_Elemental,_Peaker
Light_Elemental,_Sunny
Rain_Elemental,_Tear
Rain_Elemental,_Zarzan
Snow_Elemental,_Hyakko
Water_Elemental,_Mistof
Air_Elemental,_Bluroon
Air_Elemental,_Bluroon
Cloud_Elemental,_Mowark
Earth_Elemental,_Dogetts
Earth_Elemental,_Pokkur
Heat_Elemental,_Bobo
Heat_Elemental,_Bwah
Rain_Elemental,_Pichan
Thunder_Elemental,_Barigiran
Thunder_Elemental,_Barigiran
Air_Element,_Ractome
Air_Element,_Ractome
Air_Element,_Sebreeze
Dark_Element,_Dizmel
Dragon_Deity_of_Destruction,_Gyze
Heat_Element,_Merindol
Heat_Elemental,_Magum
Light_Element,_Agleam
Metal_Element,_Scryew
Miracle_Element,_Atmos
Mixed_Element,_Colburn
Rain_Element,_Madew
Snow_Element,_Blizza
Snow_Element,_Valancher
Storm_Element,_Cycloned
